Year,Month,State,cdd,hdd,pcp,tavg,tmax,tmin
2021,5,Maryland,47.0,123.0,3.4,62.2,74.1,50.4
2021,5,Massachusetts,9.0,226.0,5.14,57.6,68.9,46.3
2021,5,Michigan,24.0,284.0,2.03,54.0,66.4,41.6
2021,5,Minnesota,21.0,312.0,1.76,55.1,67.8,42.4
2021,5,Mississippi,177.0,20.0,4.93,69.9,80.5,59.2
2021,5,Missouri,60.0,154.0,4.99,62.3,72.1,52.4
2021,5,Montana,0.0,549.0,2.48,48.6,61.3,35.9
2021,5,Nebraska,51.0,207.0,3.56,57.9,69.8,46.0
2021,5,Nevada,207.0,90.0,0.67,57.2,71.8,42.5
2021,5,New Hampshire,6.0,292.0,2.99,54.5,67.0,42.1
2021,5,New Jersey,24.0,165.0,3.84,60.8,72.8,48.9
2021,5,New Mexico,77.0,109.0,1.09,62.7,78.9,46.4
2021,5,New York,11.0,238.0,3.04,54.7,66.4,43.0
2021,5,North Carolina,95.0,69.0,2.47,65.5,77.9,53.0
2021,5,North Dakota,13.0,383.0,2.07,52.8,66.9,38.6
2021,5,Ohio,33.0,228.0,3.79,58.8,70.6,47.0
2021,5,Oklahoma,94.0,69.0,5.6,65.9,75.8,55.9
2021,5,Oregon,0.0,324.0,1.07,52.0,65.2,38.9
2021,5,Pennsylvania,22.0,217.0,4.28,57.0,69.1,44.8
2021,5,Rhode Island,8.0,222.0,5.12,58.0,68.9,47.2
2021,5,South Carolina,149.0,30.0,2.55,69.1,81.7,56.4
2021,5,South Dakota,24.0,318.0,2.25,55.0,67.9,42.1
2021,5,Tennessee,79.0,103.0,4.27,64.1,75.6,52.6
2021,5,Texas,257.0,9.0,6.19,71.9,82.4,61.3
2021,5,Utah,18.0,339.0,0.34,57.1,71.8,42.4
2021,5,Vermont,3.0,357.0,2.51,53.3,65.6,41.1
2021,5,Virginia,51.0,120.0,2.2,62.3,75.0,49.7
2021,5,Washington,2.0,342.0,1.23,52.6,64.7,40.6
2021,5,West Virginia,28.0,207.0,3.12,58.7,71.5,45.9
2021,5,Wisconsin,22.0,297.0,2.99,54.9,66.4,43.3
2021,5,Wyoming,0.0,487.0,1.73,48.8,62.2,35.3
2021,6,Alabama,342.0,0.0,8.73,77.0,86.8,67.2
2021,6,Alaska,,,2.69,50.9,59.3,42.5
2021,6,Arizona,659.0,0.0,0.22,80.6,96.9,64.3
2021,6,Arkansas,345.0,1.0,4.87,76.9,86.6,67.2
2021,6,California,202.0,12.0,0.14,74.9,89.8,60.0
2021,6,Colorado,96.0,69.0,1.19,65.7,81.2,50.3
2021,6,Connecticut,145.0,9.0,1.99,69.2,80.4,58.1
2021,6,Delaware,249.0,0.0,3.21,73.8,83.8,63.8
2021,6,Florida,487.0,0.0,8.48,80.7,89.6,71.9
2021,6,Georgia,307.0,0.0,6.24,77.0,87.1,66.9
2021,6,Hawaii,,,1.63,68.1,75.8,60.4
2021,6,Idaho,176.0,44.0,0.56,65.1,80.9,49.2
2021,6,Illinois,252.0,10.0,5.17,74.1,84.7,63.6
2021,6,Indiana,234.0,10.0,5.93,72.7,83.0,62.3
2021,6,Iowa,267.0,11.0,3.35,73.5,85.7,61.3
2021,6,Kansas,348.0,2.0,2.8,75.8,88.4,63.3
2021,6,Kentucky,258.0,4.0,5.02,73.4,83.9,62.8
2021,6,Louisiana,464.0,0.0,6.75,80.4,88.7,72.0
2021,6,Maine,76.0,34.0,2.22,64.9,77.0,52.8
2021,6,Maryland,256.0,1.0,3.79,73.1,83.2,62.9
2021,6,Massachusetts,150.0,10.0,2.49,69.2,80.2,58.2
2021,6,Michigan,182.0,21.0,4.93,67.8,79.3,56.2
2021,6,Minnesota,195.0,26.0,1.81,69.9,83.4,56.5
2021,6,Mississippi,394.0,0.0,9.59,78.1,87.6,68.5
2021,6,Missouri,300.0,4.0,5.57,74.9,85.4,64.3
